id,Name,TotalVotes,Percentage
2,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,68,42.5
2,SDS-SRPSKA DEMOKRATSKA STRANKA,56,35
2,PDP - PARTIJA DEMOKRATSKOG PROGRESA,9,5.63
2,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,8,5
2,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,7,4.38
2,DNS-DEMOKRATSKI NARODNI SAVEZ,6,3.75
2,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,3,1.88
2,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,2,1.25
2,UJEDINJENA SRPSKA,1,0.63
2,PNP - POTKOZARSKI NARODNI POKRET,0,0
2,STRANKA ŽIVOT,0,0
2,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
2,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
2,RADNIČKA PARTIJA,0,0
2,SRPSKA NAPREDNA STRANKA FBIH,0,0
2,SLOBODNA STRANKA SRPSKE,0,0
2,DEMOKRATSKI SAVEZ-DEMOS,0,0
2,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
2,SAVEZ ZA NOVU POLITIKU,0,0
2,OTADŽBINSKA STRANKA,0,0
2,ZA DRŽAVU BIH,0,0
2,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
2,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
2,SELJAČKA STRANKA,0,0
2,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
2,POKRET ZA DRŽAVU,0,0
3,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,58,36.02
3,SDS-SRPSKA DEMOKRATSKA STRANKA,49,30.43
3,PDP - PARTIJA DEMOKRATSKOG PROGRESA,18,11.18
3,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,10,6.21
3,DNS-DEMOKRATSKI NARODNI SAVEZ,7,4.35
3,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,6,3.73
3,UJEDINJENA SRPSKA,6,3.73
3,PNP - POTKOZARSKI NARODNI POKRET,3,1.86
3,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.62
3,SLOBODNA STRANKA SRPSKE,1,0.62
3,OTADŽBINSKA STRANKA,1,0.62
3,SELJAČKA STRANKA,1,0.62
3,ZA DRŽAVU BIH,0,0
3,POKRET ZA DRŽAVU,0,0
3,STRANKA ŽIVOT,0,0
3,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
3,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
3,SRPSKA NAPREDNA STRANKA FBIH,0,0
3,DEMOKRATSKI SAVEZ-DEMOS,0,0
3,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
3,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
3,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,0,0
3,RADNIČKA PARTIJA,0,0
3,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
3,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
3,SAVEZ ZA NOVU POLITIKU,0,0
4,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,111,47.03
4,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,35,14.83
4,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,20,8.47
4,UJEDINJENA SRPSKA,19,8.05
4,SDS-SRPSKA DEMOKRATSKA STRANKA,15,6.36
4,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,12,5.08
4,PDP - PARTIJA DEMOKRATSKOG PROGRESA,10,4.24
4,DNS-DEMOKRATSKI NARODNI SAVEZ,7,2.97
4,PNP - POTKOZARSKI NARODNI POKRET,2,0.85
4,STRANKA ŽIVOT,2,0.85
4,SLOBODNA STRANKA SRPSKE,1,0.42
4,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.42
4,SAVEZ ZA DEMOKRATSKU SRPSKU,1,0.42
4,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
4,ZA DRŽAVU BIH,0,0
4,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
4,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
4,POKRET ZA DRŽAVU,0,0
4,SAVEZ ZA NOVU POLITIKU,0,0
4,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
4,OTADŽBINSKA STRANKA,0,0
4,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
4,SELJAČKA STRANKA,0,0
4,DEMOKRATSKI SAVEZ-DEMOS,0,0
4,SRPSKA NAPREDNA STRANKA FBIH,0,0
4,RADNIČKA PARTIJA,0,0
5,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,35,36.84
5,SDS-SRPSKA DEMOKRATSKA STRANKA,15,15.79
5,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,14,14.74
